snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,start_date,end_date,character_slug,character_name_en,character_name_cn,role,rarity,app_rate,avg_score,sample,sample_players,cons_avg,char_level,w_engine_level,core_skill,source_kind,source_file,source_url,quality_flag
2.8.2,2026-06-02,da,危局强袭,1-3,首领 3,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,caesar,Caesar King,凯撒·金,辅助,S,0.46,17810,261,39,0.64,60.0,59.88,7.0,hf_builds,2.8.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/builds.json,ok
2.8.3,2026-06-15,da,危局强袭,1-3,首领 3,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,caesar,Caesar King,凯撒·金,辅助,S,0.56,23317,250,55,0.67,60.0,59.56,6.98,hf_builds,2.8.3/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/builds.json,ok
3.0.1,2026-06-21,da,危局强袭,1-3,首领 3,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,caesar,Caesar King,凯撒·金,辅助,S,0.9,25677,188,86,0.64,60.0,59.45,6.99,hf_builds,3.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/builds.json,ok
2.7.2,2026-04-21,da,危局强袭,1-3,首领 3,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,cissia,Cissia,希希芙,直伤主C,S,0.01,0,1135,430,0.12,59.98,59.86,6.95,hf_builds,2.7.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/builds.json,ok
2.8.1,2026-05-11,da,危局强袭,1-3,首领 3,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,cissia,Cissia,希希芙,直伤主C,S,12.67,30039,1951,851,0.14,60.0,59.97,6.98,hf_builds,2.8.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/builds.json,ok
2.8.2,2026-06-02,da,危局强袭,1-3,首领 3,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,cissia,Cissia,希希芙,直伤主C,S,1.37,18929,288,74,0.19,60.0,59.87,6.99,hf_builds,2.8.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/builds.json,ok
2.8.3,2026-06-15,da,危局强袭,1-3,首领 3,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,cissia,Cissia,希希芙,直伤主C,S,15.69,29429,2536,481,0.17,60.0,59.62,6.99,hf_builds,2.8.3/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/builds.json,ok
3.0.1,2026-06-21,da,危局强袭,1-3,首领 3,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,cissia,Cissia,希希芙,直伤主C,S,0.08,0,236,179,0.36,60.0,59.85,6.99,hf_builds,3.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/builds.json,ok
2.6.1,2026-02-17,da,危局强袭,1-3,首领 3,2.6.1,危局强袭 2.6.1,2026-02-13,2026-02-27,corin,Corin Wickes,可琳·威克斯,直伤主C,A,0.0,0,88,38,6.0,60.0,58.98,7.0,hf_builds,2.6.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/builds.json,ok
2.6.2,2026-03-10,da,危局强袭,1-3,首领 3,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,corin,Corin Wickes,可琳·威克斯,直伤主C,A,0.0,0,75,49,6.0,60.0,59.28,7.0,hf_builds,2.6.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/builds.json,ok
